name,type,confidence,source,extraction_methods,aliases,is_normalized
A Year,DATE,0.85,Unknown,Unknown,,False
About Two Weeks,DATE,0.85,Unknown,Unknown,,False
Afternoon,TIME,0.85,Unknown,Unknown,,False
Akela,LOCATION,0.85,Unknown,Unknown,,False
Americans,GROUP,0.85,Unknown,Unknown,,False
Border Patrol,PERSON,0.85,Unknown,Unknown,,False
Caroline,ORGANIZATION,0.85,Unknown,Unknown,,False
Chinese,GROUP,0.85,Unknown,Unknown,,False
Decades,DATE,0.85,Unknown,Unknown,,False
Democrats,GROUP,0.85,Unknown,Unknown,,False
Eli Lake,ORGANIZATION,0.85,Unknown,Unknown,,False
Europeans,GROUP,0.85,Unknown,Unknown,,False
Every Day,DATE,0.85,Unknown,Unknown,,False
First,ORDINAL,0.85,Unknown,Unknown,,False
Fordow,PERSON,0.85,Unknown,Unknown,,False
Four,CARDINAL,0.85,Unknown,Unknown,,False
Francesca,ORGANIZATION,0.85,Unknown,Unknown,,False
Hairy,PERSON,0.85,Unknown,Unknown,,False
Idf,ORGANIZATION,0.85,Unknown,Unknown,,False
Indo-Pacific,ORGANIZATION,0.85,Unknown,Unknown,,False
Insider Advantage,LOCATION,0.85,Unknown,Unknown,,False
Iranians,GROUP,0.85,Unknown,Unknown,,False
Isfahan,ORGANIZATION,0.85,Unknown,Unknown,,False
Israeli,GROUP,0.85,Unknown,Unknown,,False
Juneteenth,ORDINAL,0.85,Unknown,Unknown,,False
Middle Eastern,GROUP,0.85,Unknown,Unknown,,False
Millions,CARDINAL,0.85,Unknown,Unknown,,False
"More Than 117,000",CARDINAL,0.85,Unknown,Unknown,,False
More Than 40 Million,MONEY,0.85,Unknown,Unknown,,False
Natanz,ORGANIZATION,0.85,Unknown,Unknown,,False
Nearly 60 Years,DATE,0.85,Unknown,Unknown,,False
Nearly 80 Million,CARDINAL,0.85,Unknown,Unknown,,False
Nikki Haley,ORGANIZATION,0.85,Unknown,Unknown,,False
non-US,GROUP,0.85,Unknown,Unknown,,False
One,CARDINAL,0.85,Unknown,Unknown,,False
Philippines,LOCATION,0.85,Unknown,Unknown,,False
Qom,PERSON,0.85,Unknown,Unknown,,False
Republicans,GROUP,0.85,Unknown,Unknown,,False
Second,ORDINAL,0.85,Unknown,Unknown,,False
Six,CARDINAL,0.85,Unknown,Unknown,,False
South Korean,GROUP,0.85,Unknown,Unknown,,False
The First Week,DATE,0.85,Unknown,Unknown,,False
The Last Week,DATE,0.85,Unknown,Unknown,,False
the month of May,DATE,0.85,Unknown,Unknown,,False
The Past 24 Hours,TIME,0.85,Unknown,Unknown,,False
The Past Four Years,DATE,0.85,Unknown,Unknown,,False
the Tucker Carlson's,ORGANIZATION,0.85,Unknown,Unknown,,False
the White House Council's,ORGANIZATION,0.85,Unknown,Unknown,,False
This Morning,TIME,0.85,Unknown,Unknown,,False
This Two Week,DATE,0.85,Unknown,Unknown,,False
This Week,DATE,0.85,Unknown,Unknown,,False
Truth Social,LOCATION,0.85,Unknown,Unknown,,False
Two,CARDINAL,0.85,Unknown,Unknown,,False
Wijja,LOCATION,0.85,Unknown,Unknown,,False
Yesterday,DATE,0.85,Unknown,Unknown,,False
Zero,CARDINAL,0.85,Unknown,Unknown,,False
January,DATE,0.848,GLiNER,GLiNER,,False
Supreme Leader,PERSON,0.848,GLiNER,GLiNER,,False
Southwest border,LOCATION,0.848,GLiNER,GLiNER,,False
2015,DATE,0.847,GLiNER,GLiNER,,False
Israeli uh,MILITARY_UNIT,0.847,GLiNER,GLiNER,,False
Independence Day,EVENT,0.846,GLiNER,GLiNER,,False
Dasha,PERSON,0.844,GLiNER,GLiNER,,False
Spain,LOCATION,0.838,GLiNER,GLiNER,,False
Iranian government,ORGANIZATION,0.837,GLiNER,GLiNER,,False
Juneteenth,DATE,0.836,GLiNER,GLiNER,,False
"Nearly $14,000",MONEY,0.834,GLiNER,GLiNER,,False
Michael,PERSON,0.832,GLiNER,GLiNER,,False
May 2024,DATE,0.832,GLiNER,GLiNER,,False
Presidential Administration,ORGANIZATION,0.831,GLiNER,GLiNER,,False
2011,DATE,0.83,GLiNER,GLiNER,,False
Taiwan,LOCATION,0.829,GLiNER,GLiNER,,False
Billions Of Dollars,MONEY,0.829,GLiNER,GLiNER,,False
Immigration Officers,ORGANIZATION,0.826,GLiNER,GLiNER,,False
Radical Democrats,ORGANIZATION,0.822,GLiNER,GLiNER,,False
Beltway,LOCATION,0.816,GLiNER,GLiNER,,False
Hormone Therapy,MEDICAL_PROCEDURE,0.814,GLiNER,GLiNER,,False
Insider Advantage,ORGANIZATION,0.814,GLiNER,GLiNER,,False
Ceasefire,CONFLICT,0.813,GLiNER,GLiNER,,False
National Security Council,ORGANIZATION,0.813,GLiNER,GLiNER,,False
At Least 5%,PERCENTAGE,0.811,GLiNER,GLiNER,,False
Leak Investigation,EVENT,0.807,GLiNER,GLiNER,,False
Law Enforcement Officers,ORGANIZATION,0.807,GLiNER,GLiNER,,False
White House,ORGANIZATION,0.802,GLiNER,GLiNER,,False
54%,PERCENTAGE,0.802,GLiNER,GLiNER,,False
Idf,MILITARY_UNIT,0.8,GLiNER,GLiNER,,False
Gdp,EVENT,0.796,GLiNER,GLiNER,,False
Akela,PERSON,0.791,GLiNER,GLiNER,,False
Operative,PERSON,0.79,GLiNER,GLiNER,,False
White House Counsel,ORGANIZATION,0.79,GLiNER,GLiNER,,False
The First Five Months,DATE,0.782,GLiNER,GLiNER,,False
Middle East,LOCATION,0.782,GLiNER,GLiNER,,False
United States of America,LOCATION,0.781,GLiNER,GLiNER,,False
Indo-Pacific,LOCATION,0.78,GLiNER,GLiNER,,False
Supreme Court,ORGANIZATION,0.778,GLiNER,GLiNER,,False
Monday morning,DATE,0.776,GLiNER,GLiNER,,False
Iranian terrorist regime,ORGANIZATION,0.775,GLiNER,GLiNER,,False
Trump administration,ORGANIZATION,0.774,GLiNER,GLiNER,,False
"As Much As $11,000",MONEY,0.774,GLiNER,GLiNER,,False
White House,LOCATION,0.772,GLiNER,GLiNER,,False
Skirmish,CONFLICT,0.768,GLiNER,GLiNER,,False
Mass Closures,EVENT,0.765,GLiNER,GLiNER,,False
World,LOCATION,0.763,GLiNER,GLiNER,,False
Hospitals,ORGANIZATION,0.762,GLiNER,GLiNER,,False
Kristen,PERSON,0.759,GLiNER,GLiNER,,False
She,PERSON,0.75,GLiNER,GLiNER,,False
Jennifer,PERSON,0.747,GLiNER,GLiNER,,False
Direct Conflict,CONFLICT,0.747,GLiNER,GLiNER,,False
TikTok,ORGANIZATION,0.746,GLiNER,GLiNER,,False
Mental Illness,EVENT,0.743,GLiNER,GLiNER,,False
middle America,LOCATION,0.742,GLiNER,GLiNER,,False
United States government,ORGANIZATION,0.737,GLiNER,GLiNER,,False
Day 61,DATE,0.73,GLiNER,GLiNER,,False
These Next Two Weeks,DATE,0.729,GLiNER,GLiNER,,False
Border,LOCATION,0.725,GLiNER,GLiNER,,False
United States,ORGANIZATION,0.723,GLiNER,GLiNER,,False
Today,DATE,0.721,GLiNER,GLiNER,,False
Transgender Medical Procedures,MEDICAL_PROCEDURE,0.711,GLiNER,GLiNER,,False
Global Conflicts,CONFLICT,0.71,GLiNER,GLiNER,,False
Puberty blockers,MEDICAL_PROCEDURE,0.709,GLiNER,GLiNER,,False
Region,LOCATION,0.706,GLiNER,GLiNER,,False
Federal Holiday,EVENT,0.705,GLiNER,GLiNER,,False
Wars,CONFLICT,0.704,GLiNER,GLiNER,,False
Congress,ORGANIZATION,0.703,GLiNER,GLiNER,,False
Ports Of Entry,LOCATION,0.95,GLiNER,GLiNER,,False
Biden administration,ORGANIZATION,0.95,GLiNER,GLiNER,,False
Last Month,DATE,0.95,GLiNER,GLiNER,,False
Homeland,LOCATION,0.95,GLiNER,GLiNER,,False
Country,LOCATION,0.95,GLiNER,GLiNER,,False
