start,end,speaker,text,confidence
486.318,510.286,SPEAKER_05,"22 million Americans. And what I appreciated, Mike Lawler from New York had said, who's a Republican, that there's a lot of Republicans who still think healthcare premiums are too high under Obamacare, but so long as that is the system in place and nobody is offering some sweeping alternative to make healthcare affordable, then you have to continue to extend these subsidies, even if it's short-term for one year. But this whole idea that after a million times of trying to repeal it, nothing to replace it, you can just end the subsidy.",1.0
510.306,511.347,SPEAKER_11,Why don't they work on that instead of just,1.0
511.327,512.949,SPEAKER_05,They should come back to session.,1.0
512.969,516.193,SPEAKER_11,"$147,000 a year. They could be working on it now. They could be paid.",1.0
516.333,529.631,SPEAKER_05,"By the way, sorry, I interrupted, but there's a quote in the Wall Street Journal. Inside the White House, top Trump advisors joke they are ruling Congress with an iron fist. That doesn't sound like winning. It sounds like Congress needs to step up and reclaim its power.",1.0
529.971,561.234,SPEAKER_02,"Part of what's happening is this is this slow rollout of total control. Yeah, that's what this is. And it's to me, you know, when he's talking to other countries and telling them what to do, you know, when he's talking to everybody but us. You know, I have a little bit of a problem with that. I just feel like, listen, I'm glad you did all of that. I'm glad these hostages are home. I'm glad. I'm glad you want to now flip back and say, hey, we're going to take care of the Ukraine.",1.0
561.254,562.015,,Okay.,1.0
562.035,604.338,SPEAKER_02,"But you need to take care of the Ukraine. You know, but you need to get your behind in gear here. And stop making trouble in Chicago and places like that. Well, you know what? If you are the president of the United States, act like the president of the United States. I appreciate all the stuff you're doing. But this is not... But I feel like this is... He wants to be king of the world. This is my opinion. No, he likes the Republicans. He'll help Republican states. I don't know if... It's Democratic states. The Republican states are the ones that are going to lose health care. Yeah. He hasn't been... That's why Marjorie... He's not invading Republican states. That's why Marjorie Taylor Greene. At the moment. has stepped up and said, listen, these are my people you're affecting here.",1.0
604.499,610.868,SPEAKER_03,Let's not canonize the woman. She wants to be reelected. She wants to be reelected statewide.,1.0
610.908,636.255,SPEAKER_02,"But you know what? You have to give people their props when they do the right thing. When you step up, it doesn't matter as long as you do it. And she has stepped up and said, we're not going about this in the right way. And for me, that's one of the first cracks we've seen In that block. In that block. And I'm happy to see it because unless people are stepping up for the people who voted for them, what is the point?",1.0
636.275,643.292,SPEAKER_03,"She also has, I think we mentioned this the other day, she also has two sons who are on Obamacare and they're getting screwed. So it's personal also.",1.0
643.272,659.874,SPEAKER_02,"And it should be. It's personal for a lot of people. But, you know, I'm sure it's personal for some of the folks who are in the party. But they are not going to make that move. I think she, I have to give her a prop. She made the move. She said, I don't like what's happening, and I'm going to speak it. And she got scared. Yeah.",1.0
660.315,665.141,,"You know, we're not probably going to agree on most of anything else.",1.0
665.161,673.392,SPEAKER_02,"Joy is starting to. I don't trust her. That's the problem. I don't trust her. Trust is one of those things. Sometimes you got it, sometimes you don't.",1.0
673.453,676.76,SPEAKER_03,"Look, she has ulterior motives, but if she gets the job done, good for her.",1.0
676.78,684.837,SPEAKER_02,"Every one of the politicians in D.C. has ulterior motives. I have one right now. Gotta get off. I gotta... Oh, never mind. Never mind.",1.0
685.198,686.02,SPEAKER_00,We'll be right back.,1.0
696.732,704.593,SPEAKER_01,Oprah Daily has a new fall harvest of fabulous finds. We partner with vendors for at least half off. So go to viewyourdeal.com right now.,1.0
704.633,710.168,,"Okay, welcome back.",1.0
711.059,739.412,SPEAKER_04,jennifer anderson hey y'all sorry jennifer anderson opened up on the armchair expert podcast about the intense speculation over why she never became a mom take a look when people say but you can adopt i don't want to adopt yeah yeah i want my own dna in a little person yes that's the only one selfish or not whatever that is i wanted it i was i oh oh so our,1.0
740.438,743.703,SPEAKER_02,Why are people giving her a hard time? They're not.,1.0
743.723,774.848,SPEAKER_05,"No, they are. Because before this, just about a week ago, she came out and basically explained that after years of speculation and the tabloids being like, oh, she's focused on her career and not having kids and not staying married, she was actually dealing with infertility. And she's now shared that. It makes me so angry how that tabloid culture just feels that they have this right to things about your life and your body and your health, and they'll just run with it. And even that's a brave thing to say. Adoption is the most beautiful thing if it's in you to do it, if that's the right thing for your family. It's not for everyone.",1.0
774.888,776.672,SPEAKER_03,That's brave of her to share that.,1.0
776.652,800.027,SPEAKER_10,the built for that you know like mia farrow she adopted 10 children yeah she did because she wanted to save children a madonna adopted four angelina jolie adopted three jennifer aniston is not one of those people yeah charlize you know let's think about it for a second people evolution uh enters in here in a way people if people everybody wanted to adopt we'd never procreate this the uh oh we would population,1.0
800.007,814.609,SPEAKER_03,"Well, it would end at some point. Because people naturally want to have their own children. But if you can't, then you have to adopt. And I think that there's this idea that an adopted child doesn't feel like your own natural child. And I don't think that's true. I know adopted children.",1.0
814.649,816.191,SPEAKER_00,"Yeah, I don't think it's true at all. And it's not true.",1.0
816.251,823.763,SPEAKER_03,The parents feel the same way about those kids. They do. She didn't want to do it. And I think it's an important... But give her credit for speaking her own truth.,1.0
824.704,828.41,SPEAKER_10,And it is brave to speak her truth. It is very brave.,1.0
828.43,828.63,,All right.,1.0
828.61,874.311,SPEAKER_10,"Yeah. And as someone who's, you know, we've both struggled with infertility. And as someone who has struggled with infertility, they do give you options. You know, if IVF doesn't work, if IUI doesn't work, you can always think about a surrogate, which is very expensive. All those options are expensive. And the least expensive option is generally adoption. And so it's on the table for people. And so she obviously went through this journey, this infertility journey. journey which we both know is very very difficult but she wanted to have a biological child yeah but to your point joy you know my sister-in-law never wanted biological children she's an ob-gyn um and has delivered so many babies but for her that was her path and she adopted our nephew my nephew he's the most incredible kid they have up",1.0
874.291,878.399,,"A bond unlike any that I've seen, actually.",1.0
878.419,884.831,SPEAKER_10,"And I'm disappointed that many people feel that if you adopt a child, you will not have that bond.",1.0
885.212,907.988,SPEAKER_11,"Well, we need to stop, most importantly, putting just in front of major life decisions. Just adopt. Just freeze your eggs. Just all of these things have not only financial tolls, they also have deep emotions. So to get involved in this, you know, you may say like adoption is the most affordable, but I've had friends that can barely adopt. You often end up in other countries, which is beautiful too.",1.0
908.088,913.275,SPEAKER_00,I have a cousin from Russia that are adopted because of the hurdles they make people jump through.,1.0
913.295,920.043,SPEAKER_11,It sounds simple like kids that need homes and adults that want those kids. It's not the easiest connection.,1.0
920.103,957.67,SPEAKER_02,"So there's a lot going on here. Can we start at the real heart of this? What business is it of yours? And why Where do you think you are? She said it. She put it out there. Again, but just because I say something to you doesn't mean that you need to comment on it. If you want to comment, comment to your friends. You're an egg to me. I don't know you, you don't know me, you don't know what's in my heart. Stop, you know, just talk about what's going on with you and your friends. But don't, you know, are you trying to make people feel bad when you put these things out there?",1.0
957.69,962.599,SPEAKER_03,"But we have went into a world where everybody is a critic, everybody has an opinion, and they can tell it to you.",1.0
962.619,964.963,SPEAKER_02,"And that's why I say, shut your mouth.",1.0
967.427,967.748,,Shut your mouth.,1.0
967.728,996.663,SPEAKER_02,"You know? I mean, there are some things that we can critique. We can critique world items. But we have no business critiquing your personal business. I can critique you. Just like the government has no business being involved with my body. Yes, being in your body. Because if you don't have my body, you don't know what I need. If you don't have my kids, you don't know what I need. If you don't have my life... You don't know what I need.",1.0
996.784,997.124,SPEAKER_08,Yes.,1.0
997.385,1053.086,SPEAKER_02,"So just, you know, Jennifer, do what you're doing because we think you're fabulous. Do you, girl. And we'll be right back. Welcome back. Cheryl Hines spent 12 seasons of Curb Your Enthusiasm as the wife-turned-ex-wife of a guy who was always getting into controversy, played by Larry David. But now, in her new memoir, Unscripted, she reflects on her real-life journey from Hollywood to D.C. as the wife of one of the most controversial men in American politics, Secretary of Health and Human Services, Robert F. Kennedy Jr. Please welcome Cheryl Hines. Thank you.",1.0
1073.753,1076.155,SPEAKER_06,"All right, ladies.",1.0
1078.197,1081.881,SPEAKER_03,"Cheryl, you just walked out to the Curb Your Enthusiasm theme, which I love.",1.0
1082.041,1083.122,,Yes.,1.0
1083.903,1113.84,SPEAKER_03,"So for so many years, you played the long-suffering wife and then the ex-wife of the brilliant and our above friend, Larry David, and alongside my BFF, Susie Esmail. I love Susie. I mean, I love Larry. I love all of them. Everybody from Curb Your Enthusiasm. And basically, that part for you changed the trajectory of your career. Really good. So tell us why you think that show resonates with so many people. It is politically incorrect a lot. Yes, which people like. They love. People want it back a little bit. Yeah, I know, I know.",1.0
1114.601,1138.273,SPEAKER_06,"I think, you know, Larry does that thing that you wish you could do. I was in his office once when someone called. She was on speaker and asked if he wanted to go to lunch with her. And he said, I don't think so. That sounds like you, Joy. You know, he said, but if you want to talk about something, just tell me now. She said, no, I thought we could get together.",1.0
1138.433,1157.076,SPEAKER_03,"And, you know, he's like, I don't think so. When he'd be on stage at Catch a Rising Star, he'd be doing a set. And if somebody in the audience looked at their watch, what are you looking at your watch for? What did you even come here for today? And then he would, like, stop the set. One time he walked off when he didn't like what they looked like. That's what I hear. He looked at it and went, I don't think so.",1.0
1157.096,1157.456,SPEAKER_06,And he left.,1.0
1157.737,1157.997,,I know.,1.0
1157.977,1173.893,SPEAKER_06,"So he gets to act on his impulses that we would, even if you saw somebody checking their watch, you'd be like, mm, ooh, that's bad. But, you know, you take it and then you move on. But he's like, what are you doing checking your watch? But the carrier, he's not quite like that in real life.",1.0
1173.873,1174.614,SPEAKER_11,"No, no.",1.0
1174.654,1175.636,SPEAKER_06,It's an exaggeration.,1.0
1175.716,1181.765,SPEAKER_11,It's an exaggeration. Except when you're wanting to go to lunch with him. He doesn't want to go to lunch with you.,1.0
1182.065,1186.572,SPEAKER_06,"But I appreciate that honesty. Me too. I like, this is, you know, tell it like it is.",1.0
1186.732,1195.245,SPEAKER_11,"Makes it easier. Yeah. It makes it easier. Well, it was Larry David in 2005 who introduced you to your husband, Secretary of Health and Human Services, Robert Kennedy Jr.",1.0
1195.526,1195.606,SPEAKER_07,Yes.,1.0
1195.626,1197.529,SPEAKER_11,And the two of you have been married for 11 years.,1.0
1198.731,1199.712,,Sure.,1.0
1199.692,1211.305,SPEAKER_11,"When he proposed to you without a ring, I think there was some Spanish moss involved. Yes. Yes. Is this the life you imagined? What's been the hardest part about navigating Washington and the political spotlight?",1.0
1212.584,1241.917,SPEAKER_06,"Is this the life you imagined? That's why I call my book unscripted. I could not have written this story ahead of time. No, it's not the life that I imagined. And I never imagined that I would, you know, meet Bobby Kennedy, this... Where did you meet him? I met him at a fundraiser for Waterkeeper with Larry. But it was not at all like, whoa, you two.",1.0
1242.197,1244.0,SPEAKER_08,It was just like- A Larry introduction.,1.0
1244.901,1276.964,SPEAKER_06,"Yeah. So no, I could not have imagined it. And even when I met Bobby, I mean, he was living in New York. I was living in LA. I had just been in this entertainment sort of bubble. you know and then i meet him and he's an environmental attorney and was just he's fascinating and he's interesting and he's smart and he's funny and uh completely different from anyone i had ever met in my life that's for sure I know you ladies.",1.0
1277.064,1312.281,SPEAKER_10,"I know you love to talk about him. We do talk about him. I know you do. So I'm going to ask you some questions about him. So during the last election cycle, he threw his hat in the ring to become the president of the United States. But then 16 months later, when it became clear that there was really no viable pathway forward, he throws his support behind... now President Trump, because he said they aligned on many key issues, which was sort of surprising to many, certainly surprising to me, because previous to the endorsement, neither of them had anything good to say about the other.",1.0
1312.962,1316.65,SPEAKER_06,"And by the way, that happens in a political campaign.",1.0
1316.67,1344.398,SPEAKER_10,"Yes, it does. It does. But this was this was striking. given the Kennedy name and Kennedy legend with the Democratic Party. And you write in your book that friends called voicing concern saying, you can't let Bobby do this. He's going to get Trump elected. You've got to stop him. Obviously, that didn't happen. How did you feel about his decision to suspend his campaign and support Trump? And did you share any concerns? that you may have had about that.",1.0
1344.739,1377.996,SPEAKER_06,"Well, I always share all of my concerns with my husband. I have not been a political person. I haven't posted anything on social media other than go out and vote. I never told people who they should vote for. I just said, this is important. You should vote. So with Bobby... That was a very difficult decision to make with President Trump. It was a crazy year and a half with Bobby running.",1.0
1379.138,1387.41,,"And at the end of the day, President Trump and Bobby sat down and talked.",1.0
1387.61,1441.24,SPEAKER_06,"And yes, they did have a lot of common goals, for instance. President Trump just passed... What's it called? Favored Nations. So the drugs. So we've been paying, I don't know, twice as much, 10 times as much for pharmaceutical drugs in America than other countries have been paying. So it was very important for President Trump and for Bobby to work together and say, we're no longer doing that. We are not going to, Americans are not going to pay more than other countries for our drugs. What about access to vaccines, though? They both want access to vaccines. This is also part of the discussion. Well, Trump just got his COVID shot the other day, a flu shot.",1.0
1441.58,1447.166,SPEAKER_05,"He actually got the coronavirus vaccine through Operation Warp Speed, one of the things I'm most proud of. Well, right.",1.0
1447.186,1454.132,SPEAKER_06,"So yes, I think a lot of people really wanted the COVID vaccine, and they were excited that it came out so quickly.",1.0
1454.873,1457.916,SPEAKER_10,So you were supportive of his decision to support Trump?,1.0
1459.111,1464.285,,"I was at the beginning, what's the word?",1.0
1465.93,1504.337,SPEAKER_06,"I was guarded about it. It was complicated, right? Because it's a big change politically. He starts out as a Democrat. When I first registered to vote, I registered as an independent. Through the years, I changed to a Democrat. And now I'm back to independent. So for Bobby to, in the course of a year and a half, two years, go from a Democrat to now Working with President Trump, that's a long, that's a leap.",1.0
1504.357,1504.698,SPEAKER_08,"Yeah, yeah, yeah.",1.0
1505.399,1515.983,SPEAKER_06,"But also it's a leap of faith because Bobby has a lot of supporters. He has a lot of supporters that are Republicans, independents, Democrats.",1.0
1515.963,1532.417,SPEAKER_03,"You know, Cheryl, it's not fair to really put you on the spot about him. Thank you. Because you're his wife. I know that. But when you say that they are pro-vaccine, it seems as though Bobby and Trump are casting doubt on the efficacy of the vaccine, which makes Americans very nervous. So that's the problem that we're having.",1.0
1533.538,1567.363,SPEAKER_06,"OK. I understand. I understand that. And it's interesting because, I don't know if you saw, 60 Minutes just did a piece about the vaccine injury a compensation program. So people that have had vaccine injuries can be compensated if they can prove it. And they have paid out $5.4 billion for vaccine injuries. So my question is, can we do better? Is that all vaccines or just the COVID vaccine? It's all vaccines.",1.0
1567.443,1568.745,SPEAKER_02,As far as I know.,1.0
1570.208,1601.202,SPEAKER_06,"But so the question is, yes to vaccines yes they are important and they are an important part of our health care can we do better can we make them safer can we make them um can we listen to parents who say my child got the vaccine and changed and stopped hitting markers stopped developing the way they were developing can we listen to people when they say that instead of saying",1.0
1601.62,1602.642,SPEAKER_08,You're crazy.,1.0
1602.863,1613.506,SPEAKER_05,"I agree with that, but you want to listen to scientists. And Cheryl, if I could ask you, and you are lovely for being here. As you know, I'm pregnant. You're a mom. You've had children.",1.0
1613.526,1615.731,,She's pregnant?,1.0
1615.751,1617.614,SPEAKER_08,I just wanted an opportunity. to talk about it now.,1.0
1618.434,1646.258,SPEAKER_05,"So your husband, when he announced basically that he believed he found some causal links between autism and Tylenol, it created a lot of panic in women who were being told by their OBGYNs who look at them that Tylenol, if necessary, to treat pain during pregnancy is safe. What would you say, and I know you're not a medical professional, but to women who now feel anxious and nervous because their doctor's telling them one thing, but the top public health professional's telling them something very different? I'm not a professional.",1.0
1646.238,1679.181,SPEAKER_06,"Well, they said, consult your doctor before taking it. that was the that's what they were saying and that holds so i agree listen i've been pregnant i understand it's stressful being pregnant i i found because you're so uh concerned with everything i didn't drink caffeine when i was pregnant so to say hey you know consult your doctor before you take this um i agree with that and i think",1.0
1679.161,1745.695,SPEAKER_02,"that's okay for moms to hear cheryl yeah go ahead now all right i i am this i this is not your fight really to be fighting yeah this is your husband thank you for acknowledging that but go ahead but i just want to say i just i do want to say you know he's not a doctor and he's not a professional yes and oftentimes when he's talking Oftentimes when he's speaking, he is speaking not with the best information that we can get because, you know, yeah, we could do a lot better with health stuff. And there's a lot of stuff he can do. And some of the things he's suggested take it out of the hands of my doctor and me and my OBGYN and me. And I wonder does it give you pause and are you able to say, you know, that might not actually be so, because I've got my experience and I've lived with this and I'm still here. So are you able to have those conversations with her?",1.0
1745.715,1755.728,SPEAKER_06,"I am able to have those conversations. And just to be clear, 90% of secretaries of HHS have not been doctors.",1.0
1755.768,1757.39,SPEAKER_05,But they've had a science background.,1.0
1757.41,1770.764,SPEAKER_06,"There have been three. Yeah. No, to be honest. One of Obama's secretaries of HHS was an economist. But the majority of them that haven't had medical backgrounds have had a science background.",1.0
1770.785,1796.529,SPEAKER_02,"Wait, don't do anything else. Don't say anything else yet. Because we have to take a break. I want to respond to both of these coming out. Yes, yes. We'll be right back with more with Cheryl Hines. Okay, we're back with Cheryl Hines and I had to, we had to take the break because we had to go to break, but.",1.0
1797.31,1829.215,SPEAKER_06,"Yes, but I just wanted to follow up. Because Bobby's background, everything I have seen him do, he has dedicated his career to suing big corporations because of toxins that have been affecting people's health care, people's health, I should say. So for instance, Monsanto, he sued, he was part of the team that sued Monsanto because of Roundup, a pesticide that was causing cancer. With GMOs.",1.0
1829.316,1829.536,SPEAKER_10,Right.,1.0
1829.816,1839.555,SPEAKER_06,"I know that. He sued DuPont, he sued Exxon, and he sued these companies for health reasons because they were causing health problems.",1.0
1839.575,1856.257,SPEAKER_10,"But the problem, respectfully, is that your husband is the least qualified department of health and human services head that we've had in history. I think that's a very dangerous, dangerous... Why is he less qualified than an economist? How is that possible?",1.0
1856.517,1868.274,SPEAKER_06,"He has spent his career studying toxins, studying people's health, fighting for one guy who was using Roundup for his job.",1.0
1868.294,1881.757,SPEAKER_10,"He has also spread a lot of misinformation. a lot of chaos, a lot of confusion. And I think it's just a very dangerous thing. I say it with the utmost respect. Some of it's good and some of it's not.",1.0
1881.797,1883.039,SPEAKER_03,That's the point.,1.0
1883.46,1892.077,SPEAKER_06,"Listen, we all have different views here. Yes. And when you say, you know, misinformation, disinformation, We could go back to COVID when...",1.0
1892.097,1895.362,SPEAKER_02,He's connecting circumcision to autism. May I finish?,1.0
1895.743,1908.242,SPEAKER_06,"Please. When people, Fauci, people were saying, when you get the vaccine, you cannot transmit COVID. It will stop COVID. And that was disinformation, misinformation.",1.0
1908.262,1915.132,SPEAKER_05,We were also still learning about it. It was a novel virus we'd never encountered before. Right. Because now the doctors will acknowledge that. And Dr. Fauci has a medical degree.,1.0
1915.152,1928.492,SPEAKER_06,"At the time they were censoring Bobby because Bobby said, where's the science to show us this? And there wasn't any, but people attacked him and said, you're wrong. So it's like, let's take a step back. I know that's your opinion and that's okay.",1.0
1928.472,1942.808,SPEAKER_11,"Cheryl, one thing that I think we can all agree on, and you're a big fan of, which is the Maha movement, Make America Healthy Again. You praise your husband's campaign to make food and baby formula safer, which I think is something everyone can get on board with. Tell us about that.",1.0
1943.528,1975.769,SPEAKER_06,"Well, thank you. I am very proud of Bobby, and he has worked really hard to get a lot of... you know, petroleum-based food dyes out of our food, which also, and, finish your thought, even baby formula, now we're finding out there's arsenic, there's lead. So the question is, who is running HHS when they allowed lead and arsenic in a baby formula? How is that person not dangerous? Well, two wrongs don't make a right.",1.0
1975.789,1976.991,,No!,1.0
1976.971,1982.002,SPEAKER_06,"Well, I'm saying Bobby is the one getting this out. I know. We're good for him on that.",1.0
1982.884,1989.259,SPEAKER_03,Thank you. Can we just clear one thing before you go? Yes. So that I don't have to make any jokes about it. Does he or does he not have a brain worm?,1.0
1990.117,1996.126,SPEAKER_06,"It ate just a little bit of its brain and died. So don't worry. Oh, it's a dead brain. What died?",1.0
1996.426,1999.991,SPEAKER_02,"Wait, what? The brain died? Wait, wait, wait.",1.0
2000.011,2003.216,SPEAKER_06,It's a callback to the campaign.,1.0
2003.656,2004.257,SPEAKER_09,"Oh, my gosh.",1.0
2005.319,2014.312,SPEAKER_06,"You know, you've got to read my book. It's just, you will, that was just one tiny headline in a mountain of crazy.",1.0
2014.392,2018.035,SPEAKER_03,"Yeah, exactly. Come back.",1.0
2018.495,2018.815,SPEAKER_06,Really?,1.0
2019.356,2024.461,SPEAKER_09,Yeah.,1.0
2025.883,2039.317,SPEAKER_02,Because we don't often get people on this show who we can ask these questions to. And I appreciate that you came on and so I'm saying come back.,1.0
2039.337,2041.399,,I would love for your husband to come on.,1.0
2041.419,2044.002,SPEAKER_06,My husband was gonna come on and I said maybe don't.,1.0
2043.982,2056.344,SPEAKER_02,"No, because you know what? If we can have the discussion back and forth, it then becomes people's. They can decide what they believe. And they're not just hearing one side.",1.0
2056.364,2056.985,SPEAKER_06,I would love that.,1.0
2057.105,2065.18,SPEAKER_02,Thank you. Thanks to Cheryl Hines. The new book is called Unscripted. And you can scan the code at the bottom of the screen to buy it. We will be right back.,1.0
2065.58,2066.462,,We will be right back.,1.0
2074.171,2095.032,SPEAKER_02,"Welcome back. That was interesting. But that's the great thing about The View. We want people to come and give their views. And everyone who comes here, we try to be respectful. And we ask tough questions. We ask tough questions because",1.0
2096.142,2120.327,SPEAKER_03,we're otherwise speculating right so we can ask go ahead i was going to say that i think that we should have more republicans on the show but they don't want to come on they're scared of us it's like it's like marjorie taylor green says that she finds the republican men afraid of powerful women well that may be true of all all the political persuasions but if they would come on this show and they can explain to us what they're trying to do to this country and we,1.0
2120.307,2127.615,SPEAKER_05,"We've had some good ones, but I always think it's helpful when we have Ted Cruz, I think we should have. We've invited Mike Johnson. Thomas Massey's been super interesting.",1.0
2128.035,2130.458,SPEAKER_10,Has anyone ever come on? No.,1.0
2130.598,2132.5,SPEAKER_05,"Well, Cruz has, but I'd like to have him back on.",1.0
2132.52,2147.496,SPEAKER_10,"Yeah, Ted Cruz has come on, and I think it would be wonderful. Your boyfriend, Chris Christie. My boyfriend, Chris Christie, is invited here anytime. And I do think it's important that Robert Kennedy Jr. comes on this show. We're going to be right back in a second.",1.0
2153.821,2163.062,SPEAKER_07,"Tomorrow, business founders are working for you on a special edition of View Your Deal with exclusive savings on their innovative items.",1.0
2164.225,2171.341,SPEAKER_02,Joy's Behind and Brian's Behind are both on the podcast. We want you to have a great day. Take a little time to enjoy the view. You're not alone.,1.0
2171.361,2172.403,SPEAKER_07,We're in it together.,1.0
