name,type,confidence,source,extraction_methods,aliases,is_normalized
Three,CARDINAL,0.85,Unknown,Unknown,,False
Today,DATE,0.85,Unknown,Unknown,,False
Tu Teléfono,ORGANIZATION,0.85,Unknown,Unknown,,False
Turkish,GROUP,0.85,Unknown,Unknown,,False
Two,CARDINAL,0.85,Unknown,Unknown,,False
Universo De Más De 50.000 Números,ORGANIZATION,0.85,Unknown,Unknown,,False
Vas De Espaldas,PERSON,0.85,Unknown,Unknown,,False
Vigencia Tiene,PERSON,0.85,Unknown,Unknown,,False
Ya Perdieron El Pudor,PERSON,0.85,Unknown,Unknown,,False
Ya Podíamos,PERSON,0.85,Unknown,Unknown,,False
Ya sean,PERSON,0.85,Unknown,Unknown,,False
Zarzuela de Forbidden Stories,PERSON,0.85,Unknown,Unknown,,False
¿Hasta,ORGANIZATION,0.85,Unknown,Unknown,,False
WhatsApp,SOFTWARE,0.844,GLiNER,GLiNER,,False
Steph,PERSON,0.843,GLiNER,GLiNER,,False
Airport,LOCATION,0.842,GLiNER,GLiNER,,False
Bill Marczak,PERSON,0.839,GLiNER,GLiNER,,False
Martin,PERSON,0.821,GLiNER,GLiNER,,False
del presidente de México,LOCATION,0.82,GLiNER,GLiNER,,False
Citizen Lab,ORGANIZATION,0.816,GLiNER,GLiNER,,False
We,ORGANIZATION,0.816,GLiNER,GLiNER,,False
2015,DATE,0.812,GLiNER,GLiNER,,False
United Arab Emirates,LOCATION,0.812,GLiNER,GLiNER,,False
The Post,ORGANIZATION,0.808,GLiNER,GLiNER,,False
Androids,PRODUCT,0.804,GLiNER,GLiNER,,False
COVID crisis,EVENT,0.796,GLiNER,GLiNER,,False
United States,LOCATION,0.796,GLiNER,GLiNER,,False
Platform,PLATFORM,0.79,GLiNER,GLiNER,,False
October of 2018,DATE,0.789,GLiNER,GLiNER,,False
Forbidden Films,PERSON,0.785,GLiNER,GLiNER,,False
Hatice,PERSON,0.783,GLiNER,GLiNER,,False
Carmen Aristegui,PERSON,0.783,GLiNER,GLiNER,,False
Person,PERSON,0.781,GLiNER,GLiNER,,False
Military Weapon,WEAPON,0.773,GLiNER,GLiNER,,False
Phones,PRODUCT,0.77,GLiNER,GLiNER,,False
Forbidden Stories,ORGANIZATION,0.769,GLiNER,GLiNER,,False
Your,PERSON,0.767,GLiNER,GLiNER,,False
"About 2006, 2007",DATE,0.767,GLiNER,GLiNER,,False
June of 2019,DATE,0.765,GLiNER,GLiNER,,False
Government,ORGANIZATION,0.76,GLiNER,GLiNER,,False
March,EVENT,0.756,GLiNER,GLiNER,,False
17 Hours,TIME,0.755,GLiNER,GLiNER,,False
Program,SOFTWARE,0.749,GLiNER,GLiNER,,False
Gobernador,PERSON,0.744,GLiNER,GLiNER,,False
Saudi Arabia,LOCATION,0.743,GLiNER,GLiNER,,False
1300,DATE,0.741,GLiNER,GLiNER,,False
Geolocation,LOCATION,0.741,GLiNER,GLiNER,,False
Technology,PRODUCT,0.737,GLiNER,GLiNER,,False
early May of this year,DATE,0.736,GLiNER,GLiNER,,False
2016,DATE,0.736,GLiNER,GLiNER,,False
Cocina,LOCATION,0.734,GLiNER,GLiNER,,False
Dictatorship,ORGANIZATION,0.732,GLiNER,GLiNER,,False
Forbidden Films,ORGANIZATION,0.731,GLiNER,GLiNER,,False
Pegasus,WEAPON,0.726,GLiNER,GLiNER,,False
Saudi regime,ORGANIZATION,0.723,GLiNER,GLiNER,,False
Aliyev regime,ORGANIZATION,0.72,GLiNER,GLiNER,,False
Software,SOFTWARE,0.719,GLiNER,GLiNER,,False
State,ORGANIZATION,0.718,GLiNER,GLiNER,,False
WhatsApp,PRODUCT,0.716,GLiNER,GLiNER,,False
Pegasus,COMPANY,0.715,GLiNER,GLiNER,,False
Amazon Prime Video,CHANNEL,0.714,GLiNER,GLiNER,,False
Equipo Móvil,SOFTWARE,0.705,GLiNER,GLiNER,,False
Islamic ceremony,EVENT,0.704,GLiNER,GLiNER,,False
Crown Prince,PERSON,0.702,GLiNER,GLiNER,,False
Pegasus,TECHNOLOGY,0.701,GLiNER,GLiNER,,False
World,LOCATION,0.95,GLiNER,GLiNER,,False
George Orwell,PERSON,0.95,GLiNER,GLiNER,,False
Device,PRODUCT,0.95,GLiNER,GLiNER,,False
Global Spyware Scandal,EVENT,0.95,GLiNER,GLiNER,,False
Frontline,ORGANIZATION,0.95,GLiNER,GLiNER,,False
Journalists,PERSON,0.95,GLiNER,GLiNER,,False
Spyware,SOFTWARE,0.95,GLiNER,GLiNER,,False
Surveillance,OPERATION,0.95,GLiNER,GLiNER,,False
Investigation,EVENT,0.95,GLiNER,GLiNER,,False
