name,type,confidence,source,extraction_methods,aliases,is_normalized
Saudi Arabia,LOCATION,0.845,GLiNER,GLiNER,,False
Citizen Lab,ORGANIZATION,0.844,GLiNER,GLiNER,,False
Bill Marczak,PERSON,0.844,GLiNER,GLiNER,,False
Technology,TECHNOLOGY,0.842,GLiNER,GLiNER,,False
Program,SOFTWARE,0.84,GLiNER,GLiNER,,False
Forbidden Films,ORGANIZATION,0.838,GLiNER,GLiNER,,False
She,PERSON,0.836,GLiNER,GLiNER,,False
We,GROUP,0.831,GLiNER,GLiNER,,False
del presidente de México,LOCATION,0.831,GLiNER,GLiNER,,False
George Orwell,PERSON,0.829,GLiNER,GLiNER,,False
Ejército,ORGANIZATION,0.825,GLiNER,GLiNER,,False
2018,DATE,0.823,GLiNER,GLiNER,,False
"Between 2019 And 2020, 2020",DATE,0.818,GLiNER,GLiNER,,False
Beckenham,LOCATION,0.816,GLiNER,GLiNER,,False
COVID crisis,EVENT,0.806,GLiNER,GLiNER,,False
2019,DATE,0.805,GLiNER,GLiNER,,False
2015,DATE,0.804,GLiNER,GLiNER,,False
Procuraduría General de la República,ORGANIZATION,0.798,GLiNER,GLiNER,,False
Orpington,LOCATION,0.787,GLiNER,GLiNER,,False
Platform,PLATFORM,0.786,GLiNER,GLiNER,,False
17 Hours,TIME,0.782,GLiNER,GLiNER,,False
1300,DATE,0.762,GLiNER,GLiNER,,False
Arturo de Forbidden Stories,PERSON,0.762,GLiNER,GLiNER,,False
The Post,ORGANIZATION,0.761,GLiNER,GLiNER,,False
Android phones,PRODUCT,0.76,GLiNER,GLiNER,,False
Dictatorship,EVENT,0.756,GLiNER,GLiNER,,False
You,PERSON,0.754,GLiNER,GLiNER,,False
国家元首,PERSON,0.751,GLiNER,GLiNER,,False
Teléfono,PRODUCT,0.749,GLiNER,GLiNER,,False
Cocina,LOCATION,0.749,GLiNER,GLiNER,,False
Elephant and Castle,LOCATION,0.748,GLiNER,GLiNER,,False
Gobernador,PERSON,0.746,GLiNER,GLiNER,,False
"About 2006, 2007",DATE,0.746,GLiNER,GLiNER,,False
Hunger Strike,EVENT,0.733,GLiNER,GLiNER,,False
early May of this year,DATE,0.729,GLiNER,GLiNER,,False
Amigo,PERSON,0.726,GLiNER,GLiNER,,False
Es mi hermana,PERSON,0.724,GLiNER,GLiNER,,False
2016,DATE,0.72,GLiNER,GLiNER,,False
WhatsApp,SOFTWARE,0.719,GLiNER,GLiNER,,False
Pbs,ORGANIZATION,0.714,GLiNER,GLiNER,,False
Companies,ORGANIZATION,0.713,GLiNER,GLiNER,,False
Military Weapon,WEAPON,0.712,GLiNER,GLiNER,,False
Saudi regime,ORGANIZATION,0.712,GLiNER,GLiNER,,False
Person,PERSON,0.708,GLiNER,GLiNER,,False
State,ORGANIZATION,0.708,GLiNER,GLiNER,,False
Oficina,LOCATION,0.704,GLiNER,GLiNER,,False
Device,PRODUCT,0.7,GLiNER,GLiNER,,False
Governments,ORGANIZATION,0.7,GLiNER,GLiNER,,False
Software,SOFTWARE,0.95,GLiNER,GLiNER,,False
Civilians,PERSON,0.95,GLiNER,GLiNER,,False
Investigation,EVENT,0.95,GLiNER,GLiNER,,False
Technologies,TECHNOLOGY,0.95,GLiNER,GLiNER,,False
Activists,PERSON,0.95,GLiNER,GLiNER,,False
Phone,PRODUCT,0.95,GLiNER,GLiNER,,False
Tools,TECHNOLOGY,0.95,GLiNER,GLiNER,,False
