name,type,confidence,source,extraction_methods,aliases,is_normalized
Two,CARDINAL,0.85,Unknown,Unknown,,False
"Universo De Más De 50,000 Números",ORGANIZATION,0.85,Unknown,Unknown,,False
Vas De Espaldas,PERSON,0.85,Unknown,Unknown,,False
Vigencia Tiene,PERSON,0.85,Unknown,Unknown,,False
Ya Perdieron El Pudor,PERSON,0.85,Unknown,Unknown,,False
Ya Podíamos,PERSON,0.85,Unknown,Unknown,,False
Ya sean,PERSON,0.85,Unknown,Unknown,,False
¿Pues,WORK_OF_ART,0.85,Unknown,Unknown,,False
Technology,TECHNOLOGY,0.845,GLiNER,GLiNER,,False
Bill Marzac,PERSON,0.84,GLiNER,GLiNER,,False
Airport,LOCATION,0.834,GLiNER,GLiNER,,False
Casa Blanca,LOCATION,0.833,GLiNER,GLiNER,,False
Ciudad de México,LOCATION,0.824,GLiNER,GLiNER,,False
We,ORGANIZATION,0.822,GLiNER,GLiNER,,False
Cisen,ORGANIZATION,0.82,GLiNER,GLiNER,,False
2015,DATE,0.811,GLiNER,GLiNER,,False
Person,PERSON,0.81,GLiNER,GLiNER,,False
Citizen Lab,ORGANIZATION,0.809,GLiNER,GLiNER,,False
Pegasus,WEAPON,0.809,GLiNER,GLiNER,,False
WhatsApp,PRODUCT,0.805,GLiNER,GLiNER,,False
United Arab Emirates,LOCATION,0.803,GLiNER,GLiNER,,False
You,PERSON,0.801,GLiNER,GLiNER,,False
October of 2018,DATE,0.8,GLiNER,GLiNER,,False
Apple Music,COMPANY,0.799,GLiNER,GLiNER,,False
Android phones,PRODUCT,0.798,GLiNER,GLiNER,,False
COVID crisis,EVENT,0.797,GLiNER,GLiNER,,False
Platform,PLATFORM,0.797,GLiNER,GLiNER,,False
Program,SOFTWARE,0.795,GLiNER,GLiNER,,False
Sarah,PERSON,0.795,GLiNER,GLiNER,,False
Dictatorship,ORGANIZATION,0.793,GLiNER,GLiNER,,False
Aliyevs,ORGANIZATION,0.79,GLiNER,GLiNER,,False
June of 2019,DATE,0.785,GLiNER,GLiNER,,False
Company,COMPANY,0.78,GLiNER,GLiNER,,False
Between 2019 And 2020 2020,DATE,0.779,GLiNER,GLiNER,,False
Androids,PRODUCT,0.773,GLiNER,GLiNER,,False
Forbidden Films,PERSON,0.771,GLiNER,GLiNER,,False
Forbidden Stories,ORGANIZATION,0.77,GLiNER,GLiNER,,False
Forbidden team,ORGANIZATION,0.758,GLiNER,GLiNER,,False
17 Hours,TIME,0.752,GLiNER,GLiNER,,False
"About 2006, 2007",DATE,0.751,GLiNER,GLiNER,,False
Gobernador,PERSON,0.751,GLiNER,GLiNER,,False
Carmen Aristegui,PERSON,0.749,GLiNER,GLiNER,,False
Military Weapon,WEAPON,0.748,GLiNER,GLiNER,,False
Journalists,PERSON,0.746,GLiNER,GLiNER,,False
Hunger Strike,EVENT,0.744,GLiNER,GLiNER,,False
2016,DATE,0.74,GLiNER,GLiNER,,False
Cocina,LOCATION,0.739,GLiNER,GLiNER,,False
Saudi Arabia,LOCATION,0.738,GLiNER,GLiNER,,False
State,ORGANIZATION,0.732,GLiNER,GLiNER,,False
Pegasus Spyware,COMPANY,0.726,GLiNER,GLiNER,,False
WhatsApp,SOFTWARE,0.723,GLiNER,GLiNER,,False
Iran,LOCATION,0.722,GLiNER,GLiNER,,False
Television,SHOW,0.72,GLiNER,GLiNER,,False
Consulate,LOCATION,0.719,GLiNER,GLiNER,,False
Islamic ceremony,EVENT,0.717,GLiNER,GLiNER,,False
Ejército,ORGANIZATION,0.716,GLiNER,GLiNER,,False
Amigo,PERSON,0.716,GLiNER,GLiNER,,False
Signal,PRODUCT,0.715,GLiNER,GLiNER,,False
Forbidden Films,ORGANIZATION,0.709,GLiNER,GLiNER,,False
Spy,PERSON,0.707,GLiNER,GLiNER,,False
Companies,ORGANIZATION,0.704,GLiNER,GLiNER,,False
Geolocation,LOCATION,0.703,GLiNER,GLiNER,,False
early May of this year,DATE,0.701,GLiNER,GLiNER,,False
George Orwell,PERSON,0.701,GLiNER,GLiNER,,False
Technology,PRODUCT,0.95,GLiNER,GLiNER,,False
World,LOCATION,0.95,GLiNER,GLiNER,,False
Software,SOFTWARE,0.95,GLiNER,GLiNER,,False
Pegasus,TECHNOLOGY,0.95,GLiNER,GLiNER,,False
Activists,ORGANIZATION,0.95,GLiNER,GLiNER,,False
Global Spyware Scandal,EVENT,0.95,GLiNER,GLiNER,,False
Frontline,ORGANIZATION,0.95,GLiNER,GLiNER,,False
Surveillance,OPERATION,0.95,GLiNER,GLiNER,,False
Spyware,SOFTWARE,0.95,GLiNER,GLiNER,,False
Investigation,EVENT,0.95,GLiNER,GLiNER,,False
